RAPPORT: OPPERVLAKTEWATERSTANDEN 
CATEGORIE: GEMETEN STANDEN 
TITEL: Duinweilanden Texel ow
PERIODE: van 01/01/1900 t/m 15/01/2016
GEBRUIKER: HARKEMA
DATUM: 15/01/2016
 
SCHAAL CLUSTER,SCHAAL,OLGA NUMMER,SCHAAL CONSTRUCTIE,X COORDINAAT (m),Y COORDINAAT (m),MAAIVELD (cm NAP),MAAIVELD GESCHAT,START DATUM,EIND DATUM,MEETPUNT (cm NAP),MEETPUNT (cm MV)
,P04D0002,14/04/1988,,,D,,,
,P04D0002,28/04/1988,,,D,,,
,P04D0002,14/05/1988,,,D,,,
,P04D0002,28/05/1988,,,D,,,
,P04D0002,14/06/1988,,,D,,,
,P04D0002,29/06/1988,,,D,,,
,P04D0002,14/07/1988,,,D,,,
,P04D0002,28/07/1988,,,D,,,
,P04D0002,14/08/1988,,,D,,,
,P04D0002,28/08/1988,,,D,,,
,P04D0002,14/09/1988,,,D,,,
,P04D0002,28/09/1988,,,D,,,
,P04D0002,17/10/1988,,,D,,,
,P04D0002,28/10/1988,,,D,,,
,P04D0002,14/11/1988,,,D,,,
,P04D0002,28/11/1988,,,D,,,
,P04D0002,13/01/1989,,,D,,,
,P04D0002,30/01/1989,,,D,,,
,P04D0002,14/02/1989,,,D,,,
,P04D0002,28/02/1989,,,D,,,
,P04D0002,14/03/1989,,,D,,,
,P04D0002,28/03/1989,,,D,,,
,P04D0002,14/04/1989,,,D,,,
,P04D0002,28/04/1989,,,D,,,
,P04D0002,14/05/1989,,,D,,,
,P04D0002,28/05/1989,,,D,,,
,P04D0002,14/06/1989,,,D,,,
,P04D0002,28/06/1989,,,D,,,
,P04D0002,14/07/1989,,,D,,,
,P04D0002,30/07/1989,,,D,,,
,P04D0002,14/08/1989,,,D,,,
,P04D0002,28/08/1989,,,D,,,
,P04D0002,14/09/1989,,,D,,,
,P04D0002,28/09/1989,,,D,,,
,P04D0002,14/10/1989,,,D,,,
,P04D0002,28/10/1989,,,D,,,
,P04D0002,14/11/1989,,,D,,,
,P04D0002,28/11/1989,,,D,,,
,P04D0002,15/12/1989,,,D,,,
,P04D0002,28/12/1989,,,D,,,
,P04D0002,15/01/1990,,,D,,,
,P04D0002,28/01/1990,,,D,,,
,P04D0002,14/02/1990,,,D,,,
,P04D0002,28/02/1990,,,D,,,
,P04D0002,14/03/1990,,,D,,,
,P04D0002,28/03/1990,,,D,,,
,P04D0002,14/04/1990,,,D,,,
,P04D0002,28/04/1990,,,D,,,
,P04D0002,14/05/1990,,,D,,,
P04D0003,P04D0003,28/09/1981,,84,,,,
P04D0003,P04D0003,14/10/1981,,89,,,,
P04D0003,P04D0003,28/10/1981,,93,,,,
P04D0003,P04D0003,14/11/1981,,96,,,,
P04D0003,P04D0003,28/11/1981,,101,,,,
P04D0003,P04D0003,14/12/1981,,100,,,,
P04D0003,P04D0003,28/12/1981,,97,,,,
P04D0003,P04D0003,14/01/1982,,,Y,,,
P04D0003,P04D0003,28/01/1982,,97,,,,
P04D0003,P04D0003,14/02/1982,,96,,,,
P04D0003,P04D0003,28/02/1982,,95,,,,
P04D0003,P04D0003,14/03/1982,,95,,,,
P04D0003,P04D0003,29/03/1982,,96,,,,
P04D0003,P04D0003,14/04/1982,,95,,,,
P04D0003,P04D0003,28/04/1982,,91,,,,
P04D0003,P04D0003,14/05/1982,,86,,,,
P04D0003,P04D0003,29/05/1982,,,D,,,
P04D0003,P04D0003,14/06/1982,,,D,,,
P04D0003,P04D0003,28/06/1982,,,D,,,
P04D0003,P04D0003,14/07/1982,,,D,,,
P04D0003,P04D0003,28/07/1982,,,D,,,
P04D0003,P04D0003,14/08/1982,,,D,,,
P04D0003,P04D0003,28/08/1982,,,D,,,
P04D0003,P04D0003,14/09/1982,,,D,,,
P04D0003,P04D0003,28/09/1982,,87,,,,
P04D0003,P04D0003,14/10/1982,,106,,,,
P04D0003,P04D0003,28/10/1982,,94,,,,
P04D0003,P04D0003,14/11/1982,,94,,,,
P04D0003,P04D0003,29/11/1982,,97,,,,
P04D0003,P04D0003,16/12/1982,,97,,,,
P04D0003,P04D0003,28/12/1982,,97,,,,
P04D0003,P04D0003,14/01/1983,,100,,,,
P04D0003,P04D0003,30/01/1983,,98,,,,
P04D0003,P04D0003,14/02/1983,,98,,,,
P04D0003,P04D0003,28/02/1983,,96,,,,
P04D0003,P04D0003,15/03/1983,,94,,,,
P04D0003,P04D0003,28/03/1983,,112,,,,
P04D0003,P04D0003,14/04/1983,,97,,,,
P04D0003,P04D0003,30/04/1983,,100,,,,
P04D0003,P04D0003,14/05/1983,,100,,,,
P04D0003,P04D0003,28/05/1983,,99,,,,
P04D0003,P04D0003,14/06/1983,,91,,,,
P04D0003,P04D0003,30/06/1983,,82,,,,
P04D0003,P04D0003,14/07/1983,,,D,,,
P04D0003,P04D0003,28/07/1983,,,D,,,
P04D0003,P04D0003,15/08/1983,,,D,,,
P04D0003,P04D0003,28/08/1983,,,D,,,
P04D0003,P04D0003,13/09/1983,,95,,,,
P04D0003,P04D0003,27/09/1983,,100,,,,
P04D0003,P04D0003,14/11/1983,,86,,,,
P04D0003,P04D0003,29/11/1983,,95,,,,
P04D0003,P04D0003,28/12/1983,,89,,,,
P04D0003,P04D0003,16/01/1984,,92,,,,
P04D0003,P04D0003,28/01/1984,,,Y,,,
P04D0003,P04D0003,14/02/1984,,92,,,,
P04D0003,P04D0003,29/02/1984,,91,,,,
P04D0003,P04D0003,15/03/1984,,90,,,,
P04D0003,P04D0003,28/03/1984,,93,,,,
P04D0003,P04D0003,14/04/1984,,91,,,,
P04D0003,P04D0003,28/04/1984,,88,,,,
P04D0003,P04D0003,14/05/1984,,85,,,,
P04D0003,P04D0003,28/05/1984,,94,,,,
P04D0003,P04D0003,13/06/1984,,92,,,,
P04D0003,P04D0003,28/06/1984,,82,,,,
P04D0003,P04D0003,14/07/1984,,83,,,,
P04D0003,P04D0003,26/07/1984,,,D,,,
P04D0003,P04D0003,14/08/1984,,,D,,,
P04D0003,P04D0003,29/08/1984,,,D,,,
P04D0003,P04D0003,14/09/1984,,80,,,,
P04D0003,P04D0003,26/09/1984,,112,,,,
P04D0003,P04D0003,15/10/1984,,129,,,,
P04D0003,P04D0003,29/10/1984,,102,,,,
P04D0003,P04D0003,14/11/1984,,93,,,,
P04D0003,P04D0003,14/12/1984,,93,,,,
P04D0003,P04D0003,28/12/1984,,93,,,,
P04D0003,P04D0003,30/01/1985,,96,,,,
P04D0003,P04D0003,14/02/1985,,,Y,,,
P04D0003,P04D0003,28/02/1985,,92,,,,
P04D0003,P04D0003,23/03/1985,,92,,,,
P04D0003,P04D0003,14/04/1985,,92,,,,
P04D0003,P04D0003,30/04/1985,,92,,,,
P04D0003,P04D0003,14/05/1985,,91,,,,
P04D0003,P04D0003,28/05/1985,,86,,,,
P04D0003,P04D0003,14/06/1985,,93,,,,
P04D0003,P04D0003,30/06/1985,,94,,,,
P04D0003,P04D0003,14/07/1985,,,D,,,
P04D0003,P04D0003,28/07/1985,,96,,,,
P04D0003,P04D0003,14/08/1985,,93,,,,
P04D0003,P04D0003,29/08/1985,,91,,,,
P04D0003,P04D0003,13/09/1985,,89,,,,
P04D0003,P04D0003,25/09/1985,,86,,,,
P04D0003,P04D0003,14/10/1985,,86,,,,
P04D0003,P04D0003,28/10/1985,,84,,,,
P04D0003,P04D0003,15/11/1985,,90,,,,
P04D0003,P04D0003,03/12/1985,,92,,,,
P04D0003,P04D0003,16/12/1985,,92,,,,
P04D0003,P04D0003,30/12/1985,,91,,,,
P04D0003,P04D0003,16/01/1986,,92,,,,
P04D0003,P04D0003,28/01/1986,,78,,,,
P04D0003,P04D0003,14/02/1986,,,Y,,,
P04D0003,P04D0003,28/02/1986,,,Y,,,
P04D0003,P04D0003,14/03/1986,,90,,,,
P04D0003,P04D0003,14/04/1986,,90,,,,
P04D0003,P04D0003,28/04/1986,,92,,,,
P04D0003,P04D0003,15/05/1986,,89,,,,
P04D0003,P04D0003,28/05/1986,,,D,,,
P04D0003,P04D0003,16/06/1986,,,D,,,
P04D0003,P04D0003,28/06/1986,,,D,,,
P04D0003,P04D0003,15/07/1986,,,D,,,
P04D0003,P04D0003,28/07/1986,,82,,,,
P04D0003,P04D0003,28/08/1986,,91,,,,
P04D0003,P04D0003,12/09/1986,,,D,,,
P04D0003,P04D0003,29/09/1986,,,D,,,
P04D0003,P04D0003,14/10/1986,,,D,,,
P04D0003,P04D0003,29/10/1986,,,D,,,
P04D0003,P04D0003,13/11/1986,,91,,,,
P04D0003,P04D0003,28/11/1986,,97,,,,
P04D0003,P04D0003,15/12/1986,,95,,,,
P04D0003,P04D0003,28/12/1986,,79,,,,
P04D0003,P04D0003,30/01/1987,,,Y,,,
P04D0003,P04D0003,13/02/1987,,94,,,,
P04D0003,P04D0003,27/02/1987,,96,,,,
P04D0003,P04D0003,28/03/1987,,94,,,,
P04D0003,P04D0003,14/04/1987,,93,,,,
P04D0003,P04D0003,28/04/1987,,89,,,,
P04D0003,P04D0003,16/05/1987,,92,,,,
P04D0003,P04D0003,29/05/1987,,87,,,,
P04D0003,P04D0003,14/06/1987,,88,,,,
P04D0003,P04D0003,29/06/1987,,86,,,,
P04D0003,P04D0003,14/07/1987,,,D,,,
P04D0003,P04D0003,30/07/1987,,91,,,,
P04D0003,P04D0003,14/08/1987,,89,,,,
P04D0003,P04D0003,28/08/1987,,90,,,,
P04D0003,P04D0003,14/09/1987,,88,,,,
P04D0003,P04D0003,28/09/1987,,87,,,,
P04D0003,P04D0003,16/10/1987,,103,,,,
P04D0003,P04D0003,28/10/1987,,105,,,,
P04D0003,P04D0003,19/11/1987,,91,,,,
P04D0003,P04D0003,29/11/1987,,93,,,,
P04D0003,P04D0003,14/12/1987,,88,,,,
